algo_name;pattern_len;time
stupid;100;1585850
kmp;100;2217300
refined_kmp;100;1549330
hash;100;2038990
stupid;200;1551080
kmp;200;2222270
refined_kmp;200;1613150
hash;200;2044740
stupid;300;1655940
kmp;300;2360490
refined_kmp;300;1484520
hash;300;2048140
stupid;400;1521370
kmp;400;2189180
refined_kmp;400;1504680
hash;400;1997270
stupid;500;1625450
kmp;500;2204240
refined_kmp;500;1570900
hash;500;1987960
stupid;600;1690170
kmp;600;2263880
refined_kmp;600;1492830
hash;600;1990560
stupid;700;1568190
kmp;700;2207820
refined_kmp;700;1529340
hash;700;2056180
stupid;800;1598000
kmp;800;2303310
refined_kmp;800;1598120
hash;800;2080390
stupid;900;1544440
kmp;900;2208690
refined_kmp;900;1509460
hash;900;2015720
stupid;1000;1527330
kmp;1000;2241850
refined_kmp;1000;1519210
hash;1000;2303270
stupid;1100;1587720
kmp;1100;2180240
refined_kmp;1100;1520290
hash;1100;1988610
stupid;1200;1519090
kmp;1200;2277020
refined_kmp;1200;1560450
hash;1200;2000030
stupid;1300;1549720
kmp;1300;2265780
refined_kmp;1300;1605060
hash;1300;2044190
stupid;1400;1543050
kmp;1400;2216080
refined_kmp;1400;1517890
hash;1400;2039790
stupid;1500;1563270
kmp;1500;2252480
refined_kmp;1500;1529690
hash;1500;2024830
stupid;1600;1588260
kmp;1600;2203360
refined_kmp;1600;1504930
hash;1600;2063000
stupid;1700;1539730
kmp;1700;2198450
refined_kmp;1700;1517600
hash;1700;2001760
stupid;1800;1515020
kmp;1800;2249500
refined_kmp;1800;1539410
hash;1800;1991470
stupid;1900;1506350
kmp;1900;2187310
refined_kmp;1900;1555060
hash;1900;1976290
stupid;2000;1521840
kmp;2000;2182830
refined_kmp;2000;1953250
hash;2000;1975970
stupid;2100;1526740
kmp;2100;2193290
refined_kmp;2100;1521020
hash;2100;2021670
stupid;2200;1467220
kmp;2200;2134670
refined_kmp;2200;1577060
hash;2200;2004520
stupid;2300;1501350
kmp;2300;2201280
refined_kmp;2300;1591720
hash;2300;1964530
stupid;2400;1504210
kmp;2400;2219660
refined_kmp;2400;1617790
hash;2400;1955580
stupid;2500;1554770
kmp;2500;2215040
refined_kmp;2500;1572770
hash;2500;1954140
stupid;2600;1542070
kmp;2600;2097370
refined_kmp;2600;1468320
hash;2600;1919240
stupid;2700;1536300
kmp;2700;2182980
refined_kmp;2700;1602750
hash;2700;1987710
stupid;2800;1545210
kmp;2800;2181460
refined_kmp;2800;1506190
hash;2800;2038410
stupid;2900;1485100
kmp;2900;2218410
refined_kmp;2900;1541150
hash;2900;1990450
stupid;3000;1535060
kmp;3000;2244090
refined_kmp;3000;1592540
hash;3000;1952480
