algo_name;pattern_len;time
stupid;100;202970
kmp;100;237920
refined_kmp;100;173000
stupid;200;203990
kmp;200;245410
refined_kmp;200;180160
stupid;300;203350
kmp;300;245230
refined_kmp;300;259480
stupid;400;203260
kmp;400;250500
refined_kmp;400;168580
stupid;500;209310
kmp;500;259830
refined_kmp;500;174880
stupid;600;192640
kmp;600;264180
refined_kmp;600;173910
stupid;700;203970
kmp;700;249170
refined_kmp;700;183230
stupid;800;186650
kmp;800;271810
refined_kmp;800;185610
stupid;900;185180
kmp;900;258390
refined_kmp;900;209090
stupid;1000;310960
kmp;1000;244490
refined_kmp;1000;185120
stupid;1100;204210
kmp;1100;264010
refined_kmp;1100;179950
stupid;1200;208450
kmp;1200;256070
refined_kmp;1200;177360
stupid;1300;187360
kmp;1300;296470
refined_kmp;1300;174980
stupid;1400;181280
kmp;1400;270470
refined_kmp;1400;190650
stupid;1500;183140
kmp;1500;264880
refined_kmp;1500;188920
stupid;1600;182810
kmp;1600;346580
refined_kmp;1600;176900
stupid;1700;191710
kmp;1700;266900
refined_kmp;1700;186690
stupid;1800;174700
kmp;1800;293330
refined_kmp;1800;182520
stupid;1900;173500
kmp;1900;289270
refined_kmp;1900;191440
stupid;2000;172480
kmp;2000;275440
refined_kmp;2000;216270
stupid;2100;169740
kmp;2100;272790
refined_kmp;2100;185590
stupid;2200;168530
kmp;2200;348080
refined_kmp;2200;174000
stupid;2300;152590
kmp;2300;262840
refined_kmp;2300;171500
stupid;2400;151480
kmp;2400;260330
refined_kmp;2400;184960
stupid;2500;162960
kmp;2500;274480
refined_kmp;2500;192490
stupid;2600;158590
kmp;2600;278140
refined_kmp;2600;190770
stupid;2700;156580
kmp;2700;280820
refined_kmp;2700;194330
stupid;2800;162300
kmp;2800;285590
refined_kmp;2800;224100
stupid;2900;208720
kmp;2900;281390
refined_kmp;2900;194620
stupid;3000;156440
kmp;3000;296340
refined_kmp;3000;194660
